File Name,Type,Creator,Comments,Category,Extension,Dup,"Data by Ilan Szekely, Jerusalem"
Internet Access,shlb,INTA, ,Shared Library, , ,
Internet Assistant Prefs,pref,IAWD,Microsoft Office 4.2.1,Pref, , ,
Internet Basics,APPL,mbti,,Application,, ,
Internet Black Book 2.0,APPL, wiz, ,Application, , ,
Internet Bolo Buddy 1.0.1,APPL,BOSc, ,Application, , ,
Internet Config,adrp,ICAp,Internet Config,Alias to file, , ,
Internet Config 1.3,APPL,ICAp, ,Application, , ,
Internet Config Enabler ,CFGE,TCP2,TCP/Connect II,  , , ,
Internet Config Extension,thng,ICAp,Internet Config,Extension, , ,
Internet Config Switch,sdev,ICsD,  ,Control Strip Module, , ,
Internet Config—Preferences,ICAp,ICAp,Internet Config,Pref, , ,
Internet Connection Wizard,APPL,ICW1,Microsoft,Application, , ,
Internet Connection Wizard—????,ICWS,ICW1, ,  , , ,
Internet Connection Wizard—Document,TEXT,ICW1,Internet Connection Wizard,Text File,TXT, ,
Internet Connection Wizard—Modem File,MODM,ICW1,Internet Connection Wizard,  , , ,
Internet Control,sdev,csIC, ,Control Strip Module, , ,
Internet Dialer,APPL,ISTS,"Apple Computer, Inc.",Application, , ,
Internet Dialer,APPL,TADL, ,Application, , ,
Internet Dialer—Preferences,pref,∂pup,,Pref,, ,
Internet Editor Assistant,APPL,ISET,Apple Computer,Application, , ,
Internet Editor Assistant—Settings,dslc,ISET,,, , ,
Internet Explorer 2.0,APPL,MSIE,Application, ,,,
Internet Explorer 4.x—0% Partial Download,MIE0,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—10% Partial Download,MIE1,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—20% Partial Download,MIE2,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—30% Partial Download,MIE3,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—40% Partial Download,MIE4,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—50% Partial Download,MIE5,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—60% Partial Download,MIE6,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—70% Partial Download,MIE7,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—80% Partial Download,MIE8,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—90% Partial Download,MIE9,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—AVI File,AVI ,MSIE,Internet Explorer, , , ,
Internet Explorer 4.x—GIF File,GIFf,MSIE,Internet Explorer,Graphics GIF,GIF, ,
Internet Explorer 4.x—JPEG File,JPEG,MSIE,Internet Explorer,Graphics JPEG,JPG, ,
Internet Explorer 4.x—MacPaint File,PNGf,MSIE,Internet Explorer,Graphics PNG,PNG, ,
Internet Explorer 5.0 SR-1,shlb,ICsl,,Shared Library,,,
Internet Explorer 5.x—0% Partial Download,bzy0,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—10% Partial Download,bzy1,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—20% Partial Download,bzy2,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—30% Partial Download,bzy3,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—40% Partial Download,bzy4,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—50% Partial Download,bzy5,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—60% Partial Download,bzy6,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—70% Partial Download,bzy7,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—80% Partial Download,bzy8,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—90% Partial Download,bzy9,MSIE,Internet Explorer,, , ,
Internet Explorer 5.x—Chache Lock File,LOCK,MSIE,Internet Explorer,,, ,
Internet Explorer 5.x—nomore.ram,bzy:,MSIE,Internet Explorer,,, ,
Internet Explorer 5.x—Paused/incomplete Download,MIEE,MSIE,Internet Explorer,, , ,
Internet Explorer Preview,APPL,Ps09, ,Application, , ,
Internet Explorer Web Archive File,WAFF,MSIE,Internet Explorer, , , ,
Internet Explorer—Links Document,LINK,MSIE,Internet Explorer,Link File, , ,
Internet Explorer—URL,FURL,MSIE,Internet Explorer,  , , ,
Internet Explorer—User File,USER,MSIE,Internet Explorer,  , , ,
Internet Installer,APPL,NetI, ,Application, , ,
Internet Launcher—Preferences,pref,ILLA,Internet Launcher,Pref, , ,
Internet Launcher—URL File,LINK,ILLA,Internet Launcher,Link File, , ,
Internet Launcher—URL File,URL ,ILLA,Internet Launcher,URL, , ,
Internet Life,APPL,scPL,  ,Application, , ,
Internet Life—????,MDOC,scPL,Internet Life,  , , ,
Internet Logger,APPL,IL^*, ,Application, , ,
Internet Logger v. 2.0,APPL,IL@), ,Application, , ,
Internet Logger v. 2.1.1,APPL,IL@!, ,Application, , ,
Internet Logger—Data File,Data,IL^*,Internet Logger,Data File, , ,
Internet Logger—Data File,Data,IL@),Internet Logger,Data File/Dup, ,Dup,
Internet Logger—Document,TEXT,IL^*,Internet Logger,Text File,TXT, ,
Internet Logger—Log File,TEXT,IL@),Internet Logger,Text File,TXT, ,
Internet Mail & News,APPL,MSNM,Microsoft,Application, , ,
Internet Mail & News—Address Book,Adbk,MSNM,Outlook Express,  , , ,
Internet Mail & News—Cache,Ncch,MSNM,Outlook Express,  , , ,
Internet Mail & News—Mail File,Mail,MSNM,Outlook Express,  , , ,
Internet Mail & News—Mail Index,Indx,MSNM,Outlook Express,Index, , ,
Internet Mail & News—Mail Topics File,Subj,MSNM,Outlook Express,  , , ,
Internet Mail & News—Newsgroups List,Nwrc,MSNM,Outlook Express,  , , ,
Internet Mail & News—Preferences,pref,MSNM,Outlook Express,Pref, , ,
Internet Mail & News—Table File,TABL,MSNM,Outlook Express,  , , ,
Internet Mail Server mail log,TEXT,MaiP,Internet Mail Server,Text File,TXT, ,
Internet Mail Server prefs,MPrf,MaiP,Internet Mail Server,Pref, , ,
Internet Manager,APPL,snmg, ,Application, , ,
Internet Menu,INIT,WWmn,,INIT,, ,
Internet Movie Tool,APPL,SFMF, ,Application, , ,
Internet Movie Tool—Disk File,disk,SFMF,Internet Movie Tool,Disk File, , ,
Internet Movie Tool—Folder File,fold,SFMF,Internet Movie Tool,Folder File, , ,
Internet Movie Tool—QuickTime File,MooV,SFMF,Internet Movie Tool,QuickTime Movie,MOV, ,
Internet Phone*—Text File,TEXT,iFON,,Text File,TXT, ,
Internet Phone™ 3.01,APPL,iFON, ,Application, , ,
INternet Scripting Addn Prefs,PREF,isa ,  ,pref , , ,
Internet Setup Assistant,APPL,IAST,Apple Computer,Application, , ,
Internet Setup Utility,APPL,ISCP,,Application,, ,
Internet Setup Utility—Preferences,pref,ISCP,Internet Setup Utility,Pref,, ,
Internet Site,detf,SiMm, ,  , , ,
Internet Tracker v1.0,APPL,ITrk,  ,Application/Game, , ,
Internet Tracker v1.0—Preferences ,PREF,ITrk,Internet Tracker,pref , , ,
Internet Valet™,APPL,InVa, ,Application, , ,
Internet Valet™—Control Palette,InVa,InVa,Internet Valet™,  , , ,
Internet Valet™—Folder file,fold,InVa,Internet Valet™,Folder File, , ,
Internet Valet™—Preferences,PRFS,InVa,Internet Valet™,Pref, , ,
Internet VoiceMail,APPL,iVML, ,Application, , ,
Internet—Extension,thng,parv,Internet,Extension, , ,
Internet—Settings,ICAp,parv,Internet, , , ,
InternetMemory 1.5,APPL,InMn, ,Application, , ,
InternetMemory 1.5 URL file,IMDt,InMn,InternetMemory 1.5,  , , ,
InternetMemory—Index File,IMDx,InMn,InternetMemory 1.5,, , ,
InternetMemory—Locked File,IMDw,InMn,InternetMemory 1.5,, , ,
InterNews 1.0,APPL,INWS,Application, ,,,
InterNews 1.0.1,APPL,INWS, ,Application, , ,
InterNews—Mail File,SCMP,INWS,InterNews,  , , ,
InterNews—Stationary,sNSF,INWS,InterNews,  , , ,
InterNews—Subscriptions,INSF,INWS,InterNews,  , , ,
InterNews—Text File,TEXT,INWS,InterNews,Text File,TXT, ,
INTERP.TXT,CODE,SQ1k, ,  , , ,
Interpolation,thng,TPOL, ,Extension, , ,
InterPPP,TEXT,IPPP,script,Text File,TXT, ,
InterPPP II,INIT,IPPP,,INIT, , ,
InterPPP II MacTCP Extension,mdev,IPPP,InterPPP,Extension, , ,
InterPPP II Preferences ,PREF,IPPP,InterPPP II,pref , , ,
InterPPP II Preferences ,IPPP,PREF, ,Pref,,,
InterPPP II Setup,APPL,IPPP, ,Application, , ,
InterPPP II Timer,sdev,IPPP, ,Control Strip Module, , ,
Interpreter Help 2.6,TGSH,TGSL,Prograph Classic,  , , ,
Interpreter™ 1.07,APPL,MgAK, ,Application, , ,
Interpreter™—Document,AKct,MgAK,Interpreter™,  , , ,
InterpretierenUndZeichnen.o,MNOB,MWPS, ,  , , ,
InterpretierenUndZeichnen.rf,PDBG,MWPS, ,  , , ,
Interrupt Button v3.0,INIT,InBu,,INIT, , ,
InterShare,RDEV,rmSR, ,Chooser Device, , ,
InterShareServer,APPL,ItSh, ,Application, , ,
InterSLIP,cdev,ISLP, ,Control Panel, , ,
InterSLIP,mdev,ISLP,InterSLIP,Extension, , ,
InterSlip Remote 1.2,APPL,MWIr, ,Application, , ,
InterSLIP Setup,APPL,ISLP, ,Application, , ,
InterSLIP Strip Module,sdev,∞ISL, ,Control Strip Module, , ,
InterSLIP Timer,APPL,IST~, ,Application, , ,
InterSLIP Timer v. 1.2,APPL,SL02, ,Application, , ,
InterSLIP Timer v. 1.3,APPL,IST*, ,Application, , ,
InterSLIP Timer v. 1.4.2,APPL,I142, ,Application, , ,
InterSLP—Configuration,CNFG,ISLP,InterSLIP,Pref, , ,
InterSLP—Preferemces,PREF,ISLP,InterSLIP,pref , , ,
InterStellar MacCribbage,APPL,ISC1,  ,Application/Game, , ,
InterStellar MacCribbage—????,CB1D,ISC1,MacCribbage,Game, , ,
InterStellar MacCribbage—????,CBDC,ISC1,MacCribbage,Game, , ,
InterStellar MacCribbage—????,ISCD,ISC1,MacCribbage,  , , ,
Interval,APPL,BN34, ,Application, , ,
Intervallskala,PICT,st#t, ,Graphics PICT,PIC, ,
inTheFolder V1.1.1,APPL,inFL, ,Application, , ,
InTouch,dfil,InTc, ,System 7 DA, , ,
InTouch (Prairie Group),ASI1,InTc,InTouch,  , , ,
InTouch Importer Utility,APPL,Kfka, ,Application, , ,
InTouch Importer Utility—Data File,Roch,Kfka,InTouch Importer Utility,  , , ,
InTouch Preferences,ASI ,InTc,InTouch,Pref, , ,
InTouch Reminders,cdev,OnTm, ,Control Panel, , ,
InTouch Reminders—Data File,OTdf,OnTm,InTouch Reminders,  , , ,
INTRA,APPL,INTR, ,Application, , ,
Intro,FarF,FdbP,Factory  Sounds ,Game, , ,
intro,VWPR,MMTK, ,  , , ,
Intro,APPL,TrIn, ,Application, , ,
Intro Data,MooV,jbrk,MovieMaker,QuickTime Movie,MOV, ,
Intro Key 1-3 Users,KEY0,TrIn,Intro,  , , ,
Intro Startup,INIT,TrIn,,INIT, , ,
Intro...,AIFF,ALCH,Alchemy,Sound AIFF,AIF, ,
INTRO.ADM,DATA,MAG[,Starflight II,Data File, , ,
intro.dxr,M!97,MD97,Director,  , , ,
INTRO.mtt,MooV,tvod, ,QuickTime Movie,MOV, ,
INTRO.PL,DATA,HeLL,Hell Preview,Data File, , ,
Introduction to Speech,APPL,DUCT, ,Application, , ,
introplay / tutorplay,APPL,Smk2,RAD Software,Application, , ,
introplay / tutorplay—????,Smk2,Smk2, , , , ,
introplay / tutorplay—Text File,TEXT,Smk2, ,Text File,TXT, ,
InUse cdev 2.0,cdev,InUs, ,Control Device,,,
InUse v2.0,cdev,InUs, ,Control Panel, , ,
Invaders,APPL,INVA,Application,Game,,,
Invaders!,APPL,ıSAT,  ,Application/Game, , ,
Inventory,APPL,INVE,,Application, , ,
inventory,qery,qery, ,Query, , ,
Inventory—Document,INVD,INVE,Inventory,, , ,
Inverse,APPL,/Gg$, ,Application, , ,
Inverse CLUT,ChgC,ChgX,Chagall,  , , ,
Invert,8BFM,Ansl,Ansel,PhotoShop Plug-in, , ,
Invert Video,APPL,InvG, ,Application, , ,
InvertMe XCMD Installer,APPL,GZIM, ,Application, , ,
Investigator No 1,APPL,INV1, ,Application, , ,
Investigator No. 1,APPL,INV1,Application, ,,,
Investor/RT,APPL,IVRT,"Linn Software, Inc.",Application,, ,
Investor/RT—Data File,DATA,IVRT,Investor/RT,Data File,, ,
Investor/RT—Text File,TEXT,IVRT,Investor/RT,Text File,TXT, ,
Invisible Clock 1.0.1,APPL,InCl, ,Application, , ,
Invisible Clock 2.0,APPL,InC2, ,Application, , ,
Invisible Clockwork,APPL,InCw, ,Application, , ,
Invisible File Copier 1.0,APPL,INVƒ, ,Application, , ,
Invisible Hand,cdev,iHnd, ,Control Panel, , ,
Invisible Prefs,APPL,INVS,Noah Pepper,Application,,,
InvisiFile,APPL,INVF,Application, ,,,
InvisiFile 1.1,APPL,INVF, ,Application, , ,
invisonit 1.3,INIT,InVs,,INIT, , ,
invisotime 1.2,APPL,InVs, ,Application, , ,
Invoice + Catalog,KSET,KAS1,Panorama,  , , ,
Invoice Builder—Data File,cDat,NVCB,,, , ,
Invoice Builder—Data Index File?,iDat,NVCB,Invoice Builder,,, ,
Invoice Builder—Document,cDoc,NVCB,,, , ,
Invoice Builder—Stationary Document,sDat,NVCB,Invoice Builder,,, ,
IO,S2dd,S2ad,Siedler II ,  , , ,
io.Dmini,TEXT,ioio,ioBase,Text File,TXT, ,
ioBase,APPL,ioio, ,Application, , ,
ioBase.data,dat5,ioio,ioBase,Data File, , ,
Iomega Copy Machine Preferences,PREF,IoCM,Copy Machine,pref , , ,
Iomega CSM,sdev,IoCS,Iomega,Control Strip Module, , ,
Iomega Disk Updater,APPL,IoIn,Application,Iomega Tools,,,
Iomega Driver,INIT,gZip,Iomega,INIT, , ,
Iomega Driver,INIT,id40,,INIT, , ,
Iomega Driver,cdev,IoDr, ,Control Panel, , ,
Iomega Driver Preferences,pref,IoPf,Iomega Driver,Pref, , ,
Iomega Driver.bpe,Ibpe,Ibpe, ,  , , ,
Iomega Guest,APPL,IoGd,Iomega,Application, , ,
Iomega Installer,APPL,IoIn,Iomega,Application, , ,
Iomega Quick Sync 2,APPL,M2CP,Iomega Corporation,Application,,,
Iomega Quick Sync 2 Assistant,APPL,M2SA,Iomega Corporation,Application,,,
Iomega Quick Sync 2 BA,APPL,M2BA,Iomega Corporation,Application,,,
Iomega Quick Sync 2 CSM,sdev,M2CS,Iomega Corporation,Control Strip Module,,,
Iomega Quick Sync 2 Status,APPL,M2UI,Iomega Corporation,Application,,,
Iomega Quick Sync 2 Status—Document,MRP2,M2PR,,,,,
Iomega Register,APPL,RGii,  ,Application, , ,
Iomega Register,APPL,RGzp, ,Application, , ,
Iomega Tools 4.2.1,APPL,IoTo,Iomega,Application, , ,
Iomege Drive Options,APPC,IoDO,Iomega,Control Panels Application, , ,
Iomege Drive Options,APPL,IoDO,Iomega,Application, , ,
ION-Mac Customizer,APPL,CzrT, ,Application, , ,
ION/PS (French),Lang,CzrT,ION-Mac Customizer,Language/Dictionary Module, , ,
iopg-9v1,HPU4,TSPI,Color Harpoon,  , , ,
iOrganize,APPL,œ®ﬁ,,Application,, ,
iOrganizer,APPL,iOrg,Channel 8 Software,Application,, ,
iOrganizer—Binary File,iOdl,iOrg,iOrganizer,,, ,
iOrganizer—Text File,TEXT,iOrg,iOrganizer,Text File,TXT, ,
IP Lookup,RDEV,IPUP, ,Chooser Device, , ,
IP Monitor,APPL,IPMo, ,Application, , ,
IP NetMonitor.68K,APPL,MIPR, ,Application, , ,
IP NetMonitor.PPC,INIT,MIPR,Sustainable Softworks,INIT, , ,
IP NetMonitor.PPC—OTModl$Proxy,shlb,MIPR,Sustainable Softworks,Shared Library/Dup,,Dup,
IP Remote A/Talk,adev,UMRA, ,Appletalk extension, , ,
ip4.pict,PICT,OOTW,OOTW Data ,Graphics PICT,PIC, ,
IPAbout,RSRC,PASC,Macintosh Pascal,Resource, , ,
IPM™,cdev,AlYS, ,Control Panel, , ,
IPNetSentry,appe,NSfb,Sustainable Softworks,Background Only Application,,,
IPNetSentry,APPL,NSfb,Sustainable Softworks,Application,,,
IPNetSentry Companion,APPL,NScp,Sustainable Softworks,Application,,,
IPNetSentry Companion—Document,NsAF,NScp,IPNetSentry Companion,,,,
IPNetSentry Companion—Text File,TEXT,NScp,IPNetSentry Companion,Text File,TXT,,
IPNetSentry—Document,NsAF,NSfb,IPNetSentry,,,,
IPNetSentry—Text File,TEXT,NSfb,IPNetSentry,Text File,TXT,,
iPObox,APPL,o&Pq,,Application,, ,
iPObox—Plug-in,o&Ps,o&Pq,iPObox,,, ,
iPObox—Preferences,o&Pf,o&Pq,iPObox,Pref ,, ,
iPoker,APPL,iPP1,,Application,, ,
iPoker—????,iPPb,iPP1,iPoker,, , ,
iPoker—????,iPPc,iPP1,iPoker,, , ,
iPoker—????,iPPh,iPP1,iPoker,, , ,
iPoker—????,iPPm,iPP1,iPoker,, , ,
iPoker—????,iPPo,iPP1,iPoker,, , ,
iPoker—Game File,iPPg,iPP1,iPoker,, , ,
iPoker—Preferences,iPPp,iPP1,iPoker,, , ,
iPoker—Saved Game,iPPs,iPP1,iPoker,, , ,
iPort Control,APPC,iPbz,Griffin Technology,Control Panels Application,, ,
iPort Scanner—Library File,shlb,iPsc,"Griffin Technology, Inc.",Shared Library,, ,
IPX Direct,APPL,OCHR,Radius,Application, , ,
IPX Direct—Data File,OCHR,OCHR,IPX Direct,  , , ,
IQ Booster 1.0,APPL,iqb1, ,Application, , ,
IQ Test,APPL,IQsa,  ,Application/Game, , ,
IQ Test,APPL,IQtt,  ,Application/Game, , ,
iq-points,iqPt,Iny4,Indy ,  , , ,
iq-points,SvI4,Iny4,Indy ,  , , ,
IQSounds,rsrc,Qst2,Infinity Quest II,Resource, , ,
Iracle 2000 (680x0),APPL,IRAC, ,Application, , ,
Iracle v1.0 (680x0),APPL,IraC, ,Application, , ,
Iraq Attack,APPL,CPRS, ,Application, , ,
ircle 2.5,APPL,præC,Application,,,,
ircle 3.0,APPL,pr>C,,Application, , ,
ircle 3.0,APPL,præC, ,Application, , ,
ircle 3.1 Carbon_OSX—[Unidentified File Type],FACf,præC,ircle,,,,
ircle 3.1 Carbon_OSX—Clipping File,COcl,præC,ircle,,,,
ircle 3.1 Carbon_OSX—Index File?,FACi,præC,ircle,,,,
ircle 3.x—Resumed File,RSUM,pr>C,ircle,, , ,
"ircle log, .chat or popup",TEXT,pr>C,ircle,Text File,TXT, ,
ircle preferences file,pref,pr>C,ircle,Pref, , ,
ircle—????,MACB,præC,ircle,  , , ,
ircle—Character File,FACE,præC,ircle,  , , ,
ircle—Popup File,POPS,præC,ircle,, , ,
ircle—Preferences,pref,præC,ircle,Pref, , ,
ircle—Video File,VIDO,præC,ircle,, , ,
IrDALib,shlb,irda,Apple Computer,Shared Library, , ,
iRemember,APPL,SRfa,Blake Ward,Application,, ,
iRemember Extension,INIT,SrfE,Blake Ward,INIT,, ,
iRemember OT Module,shlb,SrfM,Blake Ward,Shared Library,, ,
iRemember—Index File,SrfI,SRfa,iRemember,Index,, ,
iRemember—Preferences,SrfP,SRfa,iRemember,Pref,, ,
iRememberAutoStart,appe,SrfS,Blake Ward,Background Only Application,, ,
IRIS Extension,INIT,E1I6,,INIT/Dup, ,Dup,
Irish,INIT,MIKE,,INIT, , ,
Irish Resources,rsrc,MIK7, ,Resource, , ,
iRoku,APPL,•Cal,Catara™ Software,Application,,,
Irrational Algebraic Integrals,Th2,Th2,Theorist®,  , , ,
Irrational Algebraic Integrals,Thë2,Thë2,Theorist®, ,,,
Irregular verbs TTR,TEXT,PSI2,Works,Text File,TXT, ,
IRTalk,adev,puir, ,Appletalk extension, , ,
Iryo Jimu Kanri ver.2.1a3,APPL,AUs2,Japaneese manager for doctor's office.,Application, , ,
Isaiah 53,FBPB,PMte,  ,Duplicate, ,Dup,
iScreansaver installer,APPL,ISSI,"Xochi Media, Inc.",Application,,,
iScreensaver,APPL,ISCR,Xochi Media Inc.,Application,,,
ISDN,INIT,LEO ,Hermstedt ISDN Driver,INIT, , ,
ISDNSerial,INIT,XSer,,INIT, , ,
iSearch,APPL,ISEA, ,Application, , ,
iSearch 1.0h,APPL,iSEA, ,Application, , ,
ISEE Control Monitor ,APPL,ISCM, ,Application, , ,
ISEE Interpreter ,APPL,ISEd, ,Application, , ,
iSee™,APPL,FnPr,Azine Software,Application,, ,
iShell Editor—Text File,TEXT,EdSh,,Text File,TXT, ,
iShell—EditModel,shlb,KEYT,Keepsake,Shared Library, , ,
Ishido 1.1c,APPL,Ston, ,Application, , ,
ISI Presentation,DOC ,ISIC,Composer,  , , ,
ISIS Notes™ 1.0.4D,APPL,IS07, ,Application, , ,
ISIS/Draw 1.01,APPL,Gmdl, ,Application, , ,
ISIS/Draw.hlp,mHLP,Gmdl,ISIS/Draw ,Help, , ,
ISIS/Draw.img,Meta,Mdmf, ,  , , ,
IslandTrapper®,APPL,ITRP,Island Graphics Corporation,Application, , ,
IslandTrapper®—????,ITTR,ITRP,IslandTrapper®,  , , ,
IslandTrapper®—Document,TRDC,ITRP,IslandTrapper®,  , , ,
IslandTrapper®—EPS File,EPSF,ITRP,IslandTrapper®,EPS,EPS, ,
IslandTrapper®—Log File,TEXT,ITRP,IslandTrapper®,Text File,TXT, ,
IslandTrapper®—Preferences,TRPF,ITRP,IslandTrapper®,Pref, , ,
ISM Prefs,pref,ApFT, ,Pref, , ,
ISO 9660 File Access,ufob,ufox,Foreign File Access,CD, , ,
ISO 9660 File Access,thng,ufox,Foreign File Access,Extension,,,
Iso! 1.0.1,APPL,ISO!, ,Application, , ,
IsoBounce 2.2a,APPL,ISOB, ,Application, , ,
Isolated Heart.fasl,FASL,CCL , ,  , , ,
Isolation,GMRB,GMST,Game Master Isolation ,Game, , ,
Isoptikon 2.4,APPL,MIW2, ,Application, , ,
Isoptikon-Exercises,FRO2,BTWS, ,  , , ,
Isotope™ Help,Help,isoP,Isotope™,Help, , ,
Isotope™ v1.6.3,APPL,isoP, ,Application, , ,
ISP Referral Assistant,APPL,rgi3,Apple Computer,Application, , ,
ISP Registration Assistant,APPL,RGIE,"Apple Computer, Inc.",Application, , ,
IsThisPoetry?,TEXT,ˇˇˇØ,TicTacTrivia,Text File,TXT, ,
iStream,APPL,iSrM,Arctic Software,Application,, ,
IT Watcher,INIT,ITNT,,INIT, , ,
It's ...what?,APPL,TIts, ,Application, , ,
IT'S A WONDERFUL LIFE,C02F,CLB2,Demo Collaborator II,  , , ,
IT'S A WONDERFUL LIFE Dialogue,TEXT,CLB2,Demo Collaborator II,Text File,TXT, ,
It's Just a Clock,APPL,Flck, ,Application, , ,
It's Just a Clock—Preferences,PREF,Flck,It's Just a Clock,Pref, , ,
It’s Your Default!,cdev,IYD!, ,Control Panel, , ,
Italia.sep,TEXT,ALTP,Aldus TrapWise,Text File,TXT, ,
Italian Localization,itar,EPR3,ePress,  , , ,
Italian Names,TEXT,µKBN,Name Finder FAT document,Text File,TXT, ,
Italian Verbs,Dbi1,Wls1,Italian Verbs,  , , ,
Italian Verbs 1.1.1,APPL,Wls1, ,Application, , ,
Italian Verbs keys,keys,Wls1,Italian Verbs,  , , ,
Italian Words and Phrases,APPL,WP1c,OneApp Software,Application,,,
Italic text Picture,PICT,APBp,Michael's Draw™,Graphics PICT,PIC, ,
ItalicSlant,INIT,ITAL,,INIT, , ,
Italienisch,VOKA,TRIC,Trichter,  , , ,
iTarget,APPL,iTar,iCenterOnline.com,Application,, ,
iTarget Editor,APPL,iTEd,iCenterOnline.com,Application,, ,
ITEDO IsoDraw 2.53 ,APPL,ISO1, ,Application, , ,
ITEM.DAT,DATA,MAG;,Game creator,Data File, , ,
Items,data,item, ,Data File, , ,
Items Updated-11/23/97,TEXT,ZSAC,MacPOS,Text File,TXT, ,
ITEMS.DAT,DATA,MAG+,Curse,Data File, , ,
ItemsBT,btre,item, ,  , , ,
IterAffine 1.0,APPL,ITAF, ,Application, , ,
IteratedFunctionSystem,APPL,IFSA, ,Application, , ,
Iterations,APPL,ITTT, ,Application, , ,
IterBot,TEXT,RBT2,Mech Zone,Text File,TXT, ,
iText,APPL,iTxt,Michiaki Yamashita,Application,, ,
iText—Document,TEXT,iTxt,iText,Text File,TXT, ,
iText—Preferences,pref,iTxt,iText,Pref,, ,
iText—Stationary File,sEXT,iTxt,iText,Stationary,, ,
ithink Translator,APPL,STEL,  ,Application/Dup, ,Dup,
ithink™ 2.2.2,APPL,ithn, ,Application, , ,
ithink™—Model,ithm,ithn,ithink™,  , , ,
ithink™—Published Edition,edtp,ithn,ithink™,Published Edition, , ,
ithink™—Quicktime™ Movie,MOOV,ithn,ithink™,QuickTime Movie,MOV, ,
ithink™—Subscribed Edition,edtt,ithn,ithink™,Subscribed edition, , ,
ithink™—Template/Tutorial,STM2,ithn,ithink™,  , , ,
ithink™—Updated Edition,edtu,ithn,ithink™,Updated Edition, , ,
iTools Installer,APPL,rwsw,Apple Computer,Application, , ,
iTools Plug-in,NSPL,jav2,Apple Computer,Netscape Plugin, , ,
Itsagif—GIF Format Graphics File,GIFf,iaGF,Itsagif,Graphics GIF,GIF, ,
Itsagif—PICT Format Graphics File,PICT,iaGF,Itsagif,Graphics PICT,PIC, ,
Itsagif—User Information File,regi,iaGF,Itsagif,, , ,
Itsy SitC Citer,APPL,Itsy, ,Application, , ,
iTunes,APPL,hook, ,Application/Dup, ,Dup,
iTunes Extension,INIT,hkex,"Apple Computer, Inc.",INIT, , ,
iTunes—????,hapl,hook,iTunes,, , ,
iTunes—????,hplg,hook,iTunes,, , ,
iTunes—AIFC Sound File,AIFC,hook,iTunes,Sound AIFF-C, , ,
iTunes—AIFF Sound File,AIFF,hook,iTunes,Sound AIFF,AIF, ,
iTunes—CD Track File,CDTK,hook,iTunes,, , ,
iTunes—Database File,hkdb,hook,iTunes,, , ,
iTunes—Equalizer File,EQST,hook,iTunes,, , ,
iTunes—Extension/Plug-in,thng,hook,iTunes,Extension, , ,
iTunes—Folder File,fold,hook,iTunes,Folder File, , ,
iTunes—Levels File?,hvpl,hook,iTunes,, , ,
iTunes—MOD Sound File,6669,hook,iTunes,Sound MOD, , ,
iTunes—MOD Sound File,AMF ,hook,iTunes,Sound MOD, , ,
iTunes—MOD Sound File,DSM ,hook,iTunes,, , ,
iTunes—MOD Sound File,FAR ,hook,iTunes,, , ,
iTunes—MOD Sound File,GDM ,hook,iTunes,, , ,
iTunes—MOD Sound File,IMF ,hook,iTunes,, , ,
iTunes—MOD Sound File,IT  ,hook,iTunes,Sound MOD, , ,
iTunes—MOD Sound File,M15 ,hook,iTunes,, , ,
iTunes—MOD Sound File,MED ,hook,iTunes,Sound MOD/MED, , ,
iTunes—MOD Sound File,MTM ,hook,iTunes,Sound MOD, , ,
iTunes—MOD Sound File,OKTA,hook,iTunes,Sound MOD, , ,
iTunes—MOD Sound File,S3M ,hook,iTunes,Sound S3M/MOD, , ,
iTunes—MOD Sound File,STM ,hook,iTunes,, , ,
iTunes—MOD Sound File,STX ,hook,iTunes,Sound MOD, , ,
iTunes—MOD Sound File,ULT ,hook,iTunes,, , ,
iTunes—MOD Sound File,UNI ,hook,iTunes,, , ,
iTunes—MOD Sound File,XM  ,hook,iTunes,, , ,
iTunes—MP3 Music File,Mp3 ,hook,iTunes,Sound MP3,MP3, ,
iTunes—MP3 Music File,mp3!,hook,iTunes,Sound MP3,MP3, ,
iTunes—MP3 Music File,MPG3,hook,iTunes,Sound MP3,MP3, ,
iTunes—MPEG Level 2 File,MPG2,hook,iTunes,Movie MPEG2, , ,
iTunes—MPEG Sound File,MPEG,hook,iTunes,Movie MPEG,MPG, ,
